video_id,channel_id,channel_title,title,view_count,like_count,comment_count,published_at,outlier_score
qMCDZaf7pF0,UC9TwYQOO9mAxoF4v8ZioySg,Tom Crosshill,"If I Started Investing Now, This Is What I Would Do (Europe)",115238,2419,84,2026-05-15 19:00:00+03:00,1.2296
kOYxCHQ5rf4,UCBxa4d96Gq2GAbIBkbw9nzg,The Personal Finance Show,95 - Bettina Schneider,17,0,0,2024-07-06 19:00:49+03:00,1.2143
gtmzEzRLFAU,UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,It's Been 6 Months...Here's How Their Money Goals Are Going,13145,525,65,2026-07-09 21:15:01+03:00,1.2087
3B_EhBgAYgI,UCDdVWGejfB3_M57sWv3yniQ,ProudMoney - Credit Cards & Personal Finance,REFRESHED: Why I Like Amex Plat at $895 more than $695 + Full American Express Platinum Review 2025,9866,329,71,2025-09-18 23:40:08+03:00,1.2042
iOyFja87uyw,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,SpaceX and OpenAI: The Mega IPO Grift,358985,9295,1185,2026-04-05 13:00:00+03:00,1.2033
4rWPsJUGyq4,UCBxa4d96Gq2GAbIBkbw9nzg,The Personal Finance Show,97 - Bridget Casey,16,1,0,2019-08-29 11:37:00+03:00,1.203
0G_OSohLC_A,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,The Psychology of Home Ownership,167192,5363,1298,2024-10-10 15:00:01+03:00,1.2028
wgVqeTIWXmk,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,These 2 STOCKS will Boost Now‼️,123526,6585,1067,2026-08-06 03:45:46+03:00,1.1995
3u-mP3C26mg,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,The Biggest Myths in Personal Finance,399934,10429,1194,2026-07-26 13:00:25+03:00,1.1984
-eSKDhZDIzA,UCN2kIpBA_A3aVjcR67HnFng,My Personal Finances,WVA: How Saidah helped Hafiz & Hafizah to realize their financial priorities with financial planning,79,4,0,2021-12-01 05:36:41+03:00,1.1952
C4ypPDa-xsQ,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,I might buy a NEW STOCK‼️,140506,6349,883,2026-07-21 04:43:47+03:00,1.188
mdrsowHbfV8,UCDdVWGejfB3_M57sWv3yniQ,ProudMoney - Credit Cards & Personal Finance,NERFED! Capital One Venture X Slashing Lounge Access! (Bad News In Luxury Travel Credit Cards),8781,322,182,2025-06-03 20:56:12+03:00,1.187
ncXwann6-1M,UCDdVWGejfB3_M57sWv3yniQ,ProudMoney - Credit Cards & Personal Finance,NEW Capital One Credit Card at $295 Annual Fee? 💳 Would it be worth it with these Rewards & Credits?,9429,311,63,2025-04-28 23:37:16+03:00,1.1844
bsXdpDzDTqk,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,"This stock could go to $1,000‼️",154540,8255,906,2026-04-23 02:46:55+03:00,1.1775
XtstPfPb53U,UCBxa4d96Gq2GAbIBkbw9nzg,The Personal Finance Show,COVID-19 Weekly Update #11 (The Personal Finance Show),4,0,0,2020-06-07 21:59:51+03:00,1.1765
qblw8m3bE24,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,This Stock will be my Next Palantir‼️,177771,9712,778,2026-04-30 03:19:19+03:00,1.1761
n40zk4JM0Ww,UC-5JG7ApVwWgIIg0bDSy5_Q,Personal Finance Insider,Index Funds vs Mutual Funds,813705,1527,121,2021-12-09 21:21:01+03:00,1.1683
bmAaxGFNa6Q,UCDdVWGejfB3_M57sWv3yniQ,ProudMoney - Credit Cards & Personal Finance,NEWS: Walmart Credit Card Coming Back! 💳 With Synchrony Bank & OnePay,8971,340,68,2025-06-09 20:19:27+03:00,1.1672
md7qjlcRamE,UCgqU4kDON1LwuBbtmlSO9-g,Panda Boss - Personal Finance & Bossing Life,Here’s the things people in their 60s regret the most when it comes to money,1548,56,11,2026-07-13 19:01:18+03:00,1.1579
7kXjhrkdNPM,UCgqU4kDON1LwuBbtmlSO9-g,Panda Boss - Personal Finance & Bossing Life,My January 2026 Budget: Everything I Made & Spent Living in Poland,2139,104,66,2026-02-08 19:30:06+03:00,1.1472
3B9umhfv_ww,UCDXTQ8nWmx_EhZ2v-kp7QxA,Ben Felix,Why Betting On “Winning” Industries Almost Never Works,182895,6150,438,2024-11-10 16:00:02+03:00,1.1394
wWYVt59SYLY,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,I rank the BEST Stocks You Should Buy Right Now‼️,133542,7915,1289,2026-07-14 00:22:11+03:00,1.1339
jmPb-t2WSvQ,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,This Stock is Next to make NEW$millionaires‼️,116540,8382,836,2026-08-11 03:09:57+03:00,1.1319
E5fCM-8ExAE,UChWBKpyL-WNwnuMdrpUvR_Q,Shihab Personal Finance,How to sell a put credit spread with IBKR web portal,3079,35,26,2023-09-16 15:10:39+03:00,1.1309
Blcj4-P60s0,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,Money Mistakes to AVOID in your 20s! | Raksi Monique,76,9,5,2019-07-05 01:00:00+03:00,1.1293
F9DBKTTl2rU,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,Natural Hair Routine | Raksi Monique,183,23,37,2018-01-05 01:00:00+03:00,1.1248
P4YIU84B1wQ,UC-5JG7ApVwWgIIg0bDSy5_Q,Personal Finance Insider,Here's What Apple's Battery-Slowing Controversy Means For iPhone Sales,8520,139,35,2018-02-01 23:30:00+03:00,1.1122
UQgQBN8ZnD4,UCo51Rs98MWHpV8EQblE9dcA,Personal Finance School,Money doesn’t chase luck. It follows value.,4,0,0,2026-01-01 08:17:22+03:00,1.1111
H8_z-4sMRWw,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,I Just SOLD all of this stock‼️,190281,7995,1237,2026-05-22 02:59:31+03:00,1.1072
RVago6p4oFI,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,10 things I've Learned in 10 Years| Raksi Monique,118,16,6,2019-03-22 01:00:07+03:00,1.1038
l806q75_a3I,UCBxa4d96Gq2GAbIBkbw9nzg,The Personal Finance Show,102 - Bob Lai,46,0,0,2024-07-06 19:00:38+03:00,1.0952
1O-PngO9mLg,UCve6AcM_V7mnpBCl9TFjRRg,Your Personal Finance 360,Your EPF Keeps Growing Even After You Quit Your Job,242,12,7,2026-04-11 14:00:02+03:00,1.0852
pQfoTCF-Vz4,UCgqU4kDON1LwuBbtmlSO9-g,Panda Boss - Personal Finance & Bossing Life,3 Money Rules That Changed My Life,1635,56,9,2026-03-21 20:37:34+03:00,1.0829
9cG_DXwC3ig,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,"This Stock is Going to $1,000 per share‼️",139835,7165,820,2026-06-16 01:41:23+03:00,1.0815
4P_SZJD6xYs,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,This Stock will make more Millionaires than any stock ever‼️,182594,9935,1484,2026-05-27 01:56:57+03:00,1.0779
DvV6-C0-AR4,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,I’m Buying this Stock Rapidly Today‼️ Market in Chaos,164932,6003,442,2026-06-05 20:28:36+03:00,1.0656
7vPC-iVIvVM,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,"AMD stock.. updated price target, what will happen from here & more",152858,5907,618,2026-04-24 22:35:46+03:00,1.0642
KcwWbRvXDx0,UCgqU4kDON1LwuBbtmlSO9-g,Panda Boss - Personal Finance & Bossing Life,My Top 3 Financial Regrets #financialplanning,1664,34,6,2026-03-28 16:53:48+03:00,1.0618
e87RDhjdtjs,UCo51Rs98MWHpV8EQblE9dcA,Personal Finance School,Money follows discipline. Discipline follows habits. Habits decide your future. #money,4,0,0,2026-01-02 18:21:05+03:00,1.0588
GjWWOR5YQJ0,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,You will never get a chance like this again‼️,171358,8433,2897,2026-05-07 03:46:31+03:00,1.0529
DyJggrylNG4,UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,the debt free journey is worth it,19246,743,91,2026-05-07 23:37:26+03:00,1.0492
vI-zJ8bTK0A,UC-5JG7ApVwWgIIg0bDSy5_Q,Personal Finance Insider,How Warren Buffett Makes And Spends His Billions,1377230,28069,1296,2019-04-24 18:00:06+03:00,1.0482
V3rZgB4YVnE,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,This Stock has insane long term potential.,106611,5550,816,2026-04-01 01:08:07+03:00,1.0465
1BBlwjC6QNY,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,6 stocks YOU MUST BUY NOW‼️or regret it forever…,177504,9448,867,2026-05-15 03:57:32+03:00,1.0453
aaLIFC2gDZA,UCN2kIpBA_A3aVjcR67HnFng,My Personal Finances,"The Financial Doctor Show: Education Funding, An Investment for Your Children's Future💰👨‍👩‍👧‍👦",49,0,0,2022-06-25 04:35:22+03:00,1.0316
5a2I0TULRWU,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,Types of Side Hustles (to get extra cash) | Raksi Monique,69,5,2,2019-06-14 01:00:00+03:00,1.0237
_8cdZq7N-Hw,UChWBKpyL-WNwnuMdrpUvR_Q,Shihab Personal Finance,Covered calls on META gone wrong,975,30,28,2022-11-14 07:32:06+03:00,1.0132
9EZzyjAZ-Zc,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,INVESTORS are about to LOSE THEIR MIND‼️,121318,8637,1098,2026-07-08 01:01:39+03:00,1.0125
UuNTz0_IDPA,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,This Stock will go to $500‼️,117930,7279,636,2026-07-10 02:11:05+03:00,1.0097
G2u_yXppyfI,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,This stock is ready to EXPLODE‼️,118500,7000,625,2026-06-30 03:23:22+03:00,1.009
YHKkawU8K9w,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,My Final Warning to all Investors‼️,152852,9960,718,2026-04-28 01:44:34+03:00,1.0054
aYN4NTvQFCg,UCgqU4kDON1LwuBbtmlSO9-g,Panda Boss - Personal Finance & Bossing Life,"If you think money isn’t important, watch this.",1083,39,7,2026-07-25 21:56:58+03:00,1.005
IA9OiIxDPrA,UC9TwYQOO9mAxoF4v8ZioySg,Tom Crosshill,These ETFs Have the BEST Profits (European Investor),124838,2444,68,2025-08-28 20:00:32+03:00,1.0025
fP_QzKePtLM,UCo51Rs98MWHpV8EQblE9dcA,Personal Finance School,Rich people plan. Poor people wish. Be a planner. #financialfreedom,4,0,0,2026-01-04 17:57:13+03:00,1.0
gtXCIhfcd40,UCZsxeYbUP30aMu54J8Vin4A,Esther Kiss - Personal Finance and Investing,Rok Bedenk on working with Esther Kiss,2,0,0,2025-04-08 23:13:59+03:00,1.0
hBurJBrJPuA,UCZsxeYbUP30aMu54J8Vin4A,Esther Kiss - Personal Finance and Investing,Akshay Nanavati on working with Esther Kiss,2,1,0,2025-04-08 23:11:06+03:00,1.0
TvrZ1ybwh8s,UCZsxeYbUP30aMu54J8Vin4A,Esther Kiss - Personal Finance and Investing,Gary Vaynerchuk on working with Esther Kiss,2,0,0,2025-04-08 23:07:34+03:00,1.0
LG71TmNM64Y,UChWBKpyL-WNwnuMdrpUvR_Q,Shihab Personal Finance,closing losing call spreads // setting limit orders // interactive brokers,555,12,8,2023-12-02 02:00:11+03:00,0.9977
8r2rV6NkWeE,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,5 Ways to Invest in Your Future | Raksi Monique,56,13,6,2019-08-16 01:00:02+03:00,0.9947
JgFxMUqHHlg,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,This 1 stock has the potential to change early investors life‼️,116788,5630,647,2026-04-14 02:27:54+03:00,0.9934
IKAbT988Gko,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,How to Get Filthy Rich in the Stock Market‼️,147389,9444,1547,2026-06-11 02:37:20+03:00,0.9918
k1AlGMsU9Mg,UCBxa4d96Gq2GAbIBkbw9nzg,The Personal Finance Show,94 - Joe Saul-Sehy,14,0,0,2019-08-08 11:57:42+03:00,0.9899
arfteWDlEhI,UCMw07uiVxGULqePlrOZnx9A,Personal Finance with Leila - Debt Over It,people reveal the money habits that changed their lives,9195,371,39,2026-08-13 18:22:31+03:00,0.9882
KvvtM3KKvIM,UCN2kIpBA_A3aVjcR67HnFng,My Personal Finances,The Moneymalist Show: Fahami Aliran Tunai Anda,56,1,0,2021-12-19 23:04:10+03:00,0.9877
N4bQxqRBp48,UCN2kIpBA_A3aVjcR67HnFng,My Personal Finances,The Financial Hotline Show: Adjusting My Finances to Achieve Retirement Goals,52,2,0,2022-08-27 04:38:12+03:00,0.9853
4rA7rLSow8s,UCnMn36GT_H0X-w5_ckLtlgQ,Financial Education,Early Investors will change their life‼️,117000,7334,879,2026-07-02 01:44:51+03:00,0.9838
IHRjHtgeTD8,UChWBKpyL-WNwnuMdrpUvR_Q,Shihab Personal Finance,my dividend portfolio with Questrade,501,20,9,2023-11-09 02:00:16+03:00,0.9818
nNDiW8EEPjo,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,Trends for 2018 | Raksi Monique,175,30,11,2017-12-21 22:00:04+03:00,0.976
6DRsrxXqiw8,UCN2kIpBA_A3aVjcR67HnFng,My Personal Finances,The Financial Hotline Show: Dilema Jurang Pendapatan dan Kemiskinan di Malaysia 🇲🇾,60,2,1,2021-11-20 04:34:26+03:00,0.9756
UagFtkOmTdI,UC9TwYQOO9mAxoF4v8ZioySg,Tom Crosshill,The Best Way to Invest Your First €10K (European Investor),152140,3302,107,2026-04-17 19:30:23+03:00,0.9715
tGdRpY1EkJw,UC9TwYQOO9mAxoF4v8ZioySg,Tom Crosshill,The Most Popular ETF in Europe Explained | Step-by-Step Guide,170911,4364,127,2025-12-04 20:45:03+03:00,0.9705
XWCgmWehEcY,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,RENT vs OWN (best option) | Raksi Monique,54,4,4,2019-08-23 01:00:03+03:00,0.9695
ZqPCAI2x1-o,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,How To: Create a 5-year Plan | Raksi Monique,51,3,0,2019-09-06 01:00:03+03:00,0.9691
6-AmCUKxcS0,UCk_TpncJMwQvCyqvLVp2SNw,Raksi Monique Personal Finance,Black Girl Tag | Raksi Monique,157,12,4,2018-01-19 01:00:00+03:00,0.9638
